PING 10.0.105.200 (10.0.105.200) 56(84) bytes of data.
64 bytes from 10.0.105.200: icmp_seq=1 ttl=61 time=27.2 ms
64 bytes from 10.0.105.200: icmp_seq=2 ttl=61 time=85.8 ms
64 bytes from 10.0.105.200: icmp_seq=3 ttl=61 time=105 ms
64 bytes from 10.0.105.200: icmp_seq=4 ttl=61 time=127 ms
64 bytes from 10.0.105.200: icmp_seq=5 ttl=61 time=143 ms
64 bytes from 10.0.105.200: icmp_seq=6 ttl=61 time=168 ms
64 bytes from 10.0.105.200: icmp_seq=7 ttl=61 time=205 ms
64 bytes from 10.0.105.200: icmp_seq=8 ttl=61 time=247 ms
64 bytes from 10.0.105.200: icmp_seq=9 ttl=61 time=296 ms
64 bytes from 10.0.105.200: icmp_seq=10 ttl=61 time=356 ms
64 bytes from 10.0.105.200: icmp_seq=11 ttl=61 time=439 ms
64 bytes from 10.0.105.200: icmp_seq=12 ttl=61 time=521 ms
64 bytes from 10.0.105.200: icmp_seq=13 ttl=61 time=649 ms
64 bytes from 10.0.105.200: icmp_seq=14 ttl=61 time=822 ms
64 bytes from 10.0.105.200: icmp_seq=15 ttl=61 time=1012 ms
64 bytes from 10.0.105.200: icmp_seq=16 ttl=61 time=1213 ms
64 bytes from 10.0.105.200: icmp_seq=17 ttl=61 time=1464 ms
64 bytes from 10.0.105.200: icmp_seq=18 ttl=61 time=1731 ms
64 bytes from 10.0.105.200: icmp_seq=19 ttl=61 time=2007 ms
64 bytes from 10.0.105.200: icmp_seq=20 ttl=61 time=2315 ms
64 bytes from 10.0.105.200: icmp_seq=21 ttl=61 time=2656 ms
64 bytes from 10.0.105.200: icmp_seq=22 ttl=61 time=2997 ms
64 bytes from 10.0.105.200: icmp_seq=23 ttl=61 time=3037 ms
64 bytes from 10.0.105.200: icmp_seq=24 ttl=61 time=3082 ms
64 bytes from 10.0.105.200: icmp_seq=26 ttl=61 time=2828 ms
64 bytes from 10.0.105.200: icmp_seq=28 ttl=61 time=2464 ms
64 bytes from 10.0.105.200: icmp_seq=29 ttl=61 time=2544 ms
64 bytes from 10.0.105.200: icmp_seq=30 ttl=61 time=2635 ms
64 bytes from 10.0.105.200: icmp_seq=31 ttl=61 time=2615 ms
64 bytes from 10.0.105.200: icmp_seq=32 ttl=61 time=2105 ms
64 bytes from 10.0.105.200: icmp_seq=33 ttl=61 time=1665 ms
64 bytes from 10.0.105.200: icmp_seq=34 ttl=61 time=1246 ms
64 bytes from 10.0.105.200: icmp_seq=35 ttl=61 time=2347 ms
64 bytes from 10.0.105.200: icmp_seq=36 ttl=61 time=2691 ms
64 bytes from 10.0.105.200: icmp_seq=37 ttl=61 time=2583 ms
64 bytes from 10.0.105.200: icmp_seq=38 ttl=61 time=2588 ms
64 bytes from 10.0.105.200: icmp_seq=39 ttl=61 time=2572 ms
64 bytes from 10.0.105.200: icmp_seq=40 ttl=61 time=2672 ms
64 bytes from 10.0.105.200: icmp_seq=41 ttl=61 time=2756 ms
64 bytes from 10.0.105.200: icmp_seq=42 ttl=61 time=2804 ms
64 bytes from 10.0.105.200: icmp_seq=43 ttl=61 time=2788 ms
64 bytes from 10.0.105.200: icmp_seq=44 ttl=61 time=2772 ms
64 bytes from 10.0.105.200: icmp_seq=45 ttl=61 time=2790 ms
64 bytes from 10.0.105.200: icmp_seq=46 ttl=61 time=2795 ms
64 bytes from 10.0.105.200: icmp_seq=47 ttl=61 time=2793 ms
64 bytes from 10.0.105.200: icmp_seq=48 ttl=61 time=2694 ms
64 bytes from 10.0.105.200: icmp_seq=49 ttl=61 time=2566 ms
64 bytes from 10.0.105.200: icmp_seq=50 ttl=61 time=2296 ms
64 bytes from 10.0.105.200: icmp_seq=51 ttl=61 time=2029 ms
64 bytes from 10.0.105.200: icmp_seq=52 ttl=61 time=1801 ms
64 bytes from 10.0.105.200: icmp_seq=53 ttl=61 time=1627 ms
64 bytes from 10.0.105.200: icmp_seq=54 ttl=61 time=1661 ms
64 bytes from 10.0.105.200: icmp_seq=55 ttl=61 time=1825 ms
64 bytes from 10.0.105.200: icmp_seq=56 ttl=61 time=1926 ms
64 bytes from 10.0.105.200: icmp_seq=57 ttl=61 time=2027 ms
64 bytes from 10.0.105.200: icmp_seq=58 ttl=61 time=2082 ms
64 bytes from 10.0.105.200: icmp_seq=59 ttl=61 time=2184 ms
64 bytes from 10.0.105.200: icmp_seq=60 ttl=61 time=2250 ms
64 bytes from 10.0.105.200: icmp_seq=61 ttl=61 time=2270 ms
64 bytes from 10.0.105.200: icmp_seq=62 ttl=61 time=2290 ms
64 bytes from 10.0.105.200: icmp_seq=63 ttl=61 time=2313 ms
64 bytes from 10.0.105.200: icmp_seq=64 ttl=61 time=2358 ms
64 bytes from 10.0.105.200: icmp_seq=65 ttl=61 time=2349 ms
64 bytes from 10.0.105.200: icmp_seq=66 ttl=61 time=2365 ms
64 bytes from 10.0.105.200: icmp_seq=67 ttl=61 time=2347 ms
64 bytes from 10.0.105.200: icmp_seq=68 ttl=61 time=2405 ms
64 bytes from 10.0.105.200: icmp_seq=69 ttl=61 time=2418 ms
64 bytes from 10.0.105.200: icmp_seq=70 ttl=61 time=2467 ms
64 bytes from 10.0.105.200: icmp_seq=71 ttl=61 time=2501 ms
64 bytes from 10.0.105.200: icmp_seq=72 ttl=61 time=2547 ms
64 bytes from 10.0.105.200: icmp_seq=73 ttl=61 time=2627 ms
64 bytes from 10.0.105.200: icmp_seq=74 ttl=61 time=2713 ms
64 bytes from 10.0.105.200: icmp_seq=75 ttl=61 time=2875 ms
64 bytes from 10.0.105.200: icmp_seq=76 ttl=61 time=3025 ms
64 bytes from 10.0.105.200: icmp_seq=77 ttl=61 time=2907 ms
64 bytes from 10.0.105.200: icmp_seq=79 ttl=61 time=2876 ms
64 bytes from 10.0.105.200: icmp_seq=80 ttl=61 time=2687 ms
64 bytes from 10.0.105.200: icmp_seq=81 ttl=61 time=2411 ms
64 bytes from 10.0.105.200: icmp_seq=82 ttl=61 time=2440 ms
64 bytes from 10.0.105.200: icmp_seq=83 ttl=61 time=2395 ms
64 bytes from 10.0.105.200: icmp_seq=84 ttl=61 time=2476 ms
64 bytes from 10.0.105.200: icmp_seq=85 ttl=61 time=2357 ms
64 bytes from 10.0.105.200: icmp_seq=86 ttl=61 time=2328 ms
64 bytes from 10.0.105.200: icmp_seq=87 ttl=61 time=2031 ms
64 bytes from 10.0.105.200: icmp_seq=88 ttl=61 time=1729 ms
64 bytes from 10.0.105.200: icmp_seq=89 ttl=61 time=1598 ms
64 bytes from 10.0.105.200: icmp_seq=90 ttl=61 time=1606 ms
64 bytes from 10.0.105.200: icmp_seq=91 ttl=61 time=1683 ms
64 bytes from 10.0.105.200: icmp_seq=92 ttl=61 time=1751 ms
64 bytes from 10.0.105.200: icmp_seq=93 ttl=61 time=1836 ms
64 bytes from 10.0.105.200: icmp_seq=94 ttl=61 time=1938 ms
64 bytes from 10.0.105.200: icmp_seq=95 ttl=61 time=1932 ms
64 bytes from 10.0.105.200: icmp_seq=96 ttl=61 time=1999 ms
64 bytes from 10.0.105.200: icmp_seq=97 ttl=61 time=2035 ms
64 bytes from 10.0.105.200: icmp_seq=98 ttl=61 time=2075 ms
64 bytes from 10.0.105.200: icmp_seq=99 ttl=61 time=2087 ms
64 bytes from 10.0.105.200: icmp_seq=100 ttl=61 time=2108 ms
64 bytes from 10.0.105.200: icmp_seq=101 ttl=61 time=2127 ms
64 bytes from 10.0.105.200: icmp_seq=102 ttl=61 time=2153 ms
64 bytes from 10.0.105.200: icmp_seq=103 ttl=61 time=2176 ms
64 bytes from 10.0.105.200: icmp_seq=104 ttl=61 time=2171 ms
64 bytes from 10.0.105.200: icmp_seq=105 ttl=61 time=2231 ms
64 bytes from 10.0.105.200: icmp_seq=106 ttl=61 time=2270 ms
64 bytes from 10.0.105.200: icmp_seq=107 ttl=61 time=2359 ms
64 bytes from 10.0.105.200: icmp_seq=108 ttl=61 time=2439 ms
64 bytes from 10.0.105.200: icmp_seq=109 ttl=61 time=2500 ms
64 bytes from 10.0.105.200: icmp_seq=110 ttl=61 time=2643 ms
64 bytes from 10.0.105.200: icmp_seq=111 ttl=61 time=2785 ms
64 bytes from 10.0.105.200: icmp_seq=112 ttl=61 time=2942 ms
64 bytes from 10.0.105.200: icmp_seq=113 ttl=61 time=3157 ms
64 bytes from 10.0.105.200: icmp_seq=114 ttl=61 time=3216 ms
64 bytes from 10.0.105.200: icmp_seq=115 ttl=61 time=3190 ms
64 bytes from 10.0.105.200: icmp_seq=116 ttl=61 time=3199 ms
64 bytes from 10.0.105.200: icmp_seq=117 ttl=61 time=3182 ms
64 bytes from 10.0.105.200: icmp_seq=118 ttl=61 time=2845 ms
64 bytes from 10.0.105.200: icmp_seq=120 ttl=61 time=2559 ms
64 bytes from 10.0.105.200: icmp_seq=121 ttl=61 time=2438 ms
