PING 10.0.105.200 (10.0.105.200) 56(84) bytes of data.
64 bytes from 10.0.105.200: icmp_seq=1 ttl=61 time=45.3 ms
64 bytes from 10.0.105.200: icmp_seq=2 ttl=61 time=300 ms
64 bytes from 10.0.105.200: icmp_seq=3 ttl=61 time=350 ms
64 bytes from 10.0.105.200: icmp_seq=4 ttl=61 time=406 ms
64 bytes from 10.0.105.200: icmp_seq=5 ttl=61 time=458 ms
64 bytes from 10.0.105.200: icmp_seq=6 ttl=61 time=508 ms
64 bytes from 10.0.105.200: icmp_seq=7 ttl=61 time=606 ms
64 bytes from 10.0.105.200: icmp_seq=8 ttl=61 time=802 ms
64 bytes from 10.0.105.200: icmp_seq=9 ttl=61 time=1068 ms
64 bytes from 10.0.105.200: icmp_seq=10 ttl=61 time=1356 ms
64 bytes from 10.0.105.200: icmp_seq=11 ttl=61 time=1740 ms
64 bytes from 10.0.105.200: icmp_seq=12 ttl=61 time=2169 ms
64 bytes from 10.0.105.200: icmp_seq=13 ttl=61 time=2652 ms
64 bytes from 10.0.105.200: icmp_seq=14 ttl=61 time=3166 ms
64 bytes from 10.0.105.200: icmp_seq=18 ttl=61 time=3483 ms
64 bytes from 10.0.105.200: icmp_seq=20 ttl=61 time=3045 ms
64 bytes from 10.0.105.200: icmp_seq=22 ttl=61 time=2949 ms
64 bytes from 10.0.105.200: icmp_seq=23 ttl=61 time=2938 ms
64 bytes from 10.0.105.200: icmp_seq=24 ttl=61 time=2919 ms
64 bytes from 10.0.105.200: icmp_seq=25 ttl=61 time=2917 ms
64 bytes from 10.0.105.200: icmp_seq=26 ttl=61 time=2932 ms
64 bytes from 10.0.105.200: icmp_seq=27 ttl=61 time=2299 ms
64 bytes from 10.0.105.200: icmp_seq=28 ttl=61 time=1952 ms
64 bytes from 10.0.105.200: icmp_seq=29 ttl=61 time=1619 ms
64 bytes from 10.0.105.200: icmp_seq=30 ttl=61 time=2371 ms
64 bytes from 10.0.105.200: icmp_seq=31 ttl=61 time=2407 ms
64 bytes from 10.0.105.200: icmp_seq=32 ttl=61 time=2616 ms
64 bytes from 10.0.105.200: icmp_seq=33 ttl=61 time=2695 ms
64 bytes from 10.0.105.200: icmp_seq=34 ttl=61 time=2802 ms
64 bytes from 10.0.105.200: icmp_seq=35 ttl=61 time=2913 ms
64 bytes from 10.0.105.200: icmp_seq=36 ttl=61 time=3007 ms
64 bytes from 10.0.105.200: icmp_seq=37 ttl=61 time=3085 ms
64 bytes from 10.0.105.200: icmp_seq=38 ttl=61 time=3148 ms
64 bytes from 10.0.105.200: icmp_seq=39 ttl=61 time=3187 ms
64 bytes from 10.0.105.200: icmp_seq=40 ttl=61 time=3207 ms
64 bytes from 10.0.105.200: icmp_seq=41 ttl=61 time=3264 ms
64 bytes from 10.0.105.200: icmp_seq=42 ttl=61 time=3362 ms
64 bytes from 10.0.105.200: icmp_seq=43 ttl=61 time=3484 ms
64 bytes from 10.0.105.200: icmp_seq=44 ttl=61 time=3531 ms
64 bytes from 10.0.105.200: icmp_seq=45 ttl=61 time=3534 ms
64 bytes from 10.0.105.200: icmp_seq=46 ttl=61 time=3548 ms
64 bytes from 10.0.105.200: icmp_seq=47 ttl=61 time=3562 ms
64 bytes from 10.0.105.200: icmp_seq=48 ttl=61 time=3306 ms
64 bytes from 10.0.105.200: icmp_seq=49 ttl=61 time=3061 ms
64 bytes from 10.0.105.200: icmp_seq=50 ttl=61 time=2906 ms
64 bytes from 10.0.105.200: icmp_seq=51 ttl=61 time=2898 ms
64 bytes from 10.0.105.200: icmp_seq=52 ttl=61 time=2984 ms
64 bytes from 10.0.105.200: icmp_seq=53 ttl=61 time=3025 ms
64 bytes from 10.0.105.200: icmp_seq=54 ttl=61 time=2988 ms
64 bytes from 10.0.105.200: icmp_seq=55 ttl=61 time=3020 ms
64 bytes from 10.0.105.200: icmp_seq=56 ttl=61 time=3034 ms
64 bytes from 10.0.105.200: icmp_seq=57 ttl=61 time=2930 ms
64 bytes from 10.0.105.200: icmp_seq=58 ttl=61 time=2697 ms
64 bytes from 10.0.105.200: icmp_seq=59 ttl=61 time=2464 ms
64 bytes from 10.0.105.200: icmp_seq=60 ttl=61 time=2320 ms

--- 10.0.105.200 ping statistics ---
60 packets transmitted, 55 received, 8.33333% packet loss, time 59390ms
rtt min/avg/max/mdev = 45.266/2473.328/3562.313/991.801 ms, pipe 4
