PING 10.0.105.200 (10.0.105.200) 56(84) bytes of data.
64 bytes from 10.0.105.200: icmp_seq=1 ttl=61 time=75.1 ms
64 bytes from 10.0.105.200: icmp_seq=2 ttl=61 time=198 ms
64 bytes from 10.0.105.200: icmp_seq=3 ttl=61 time=250 ms
64 bytes from 10.0.105.200: icmp_seq=4 ttl=61 time=293 ms
64 bytes from 10.0.105.200: icmp_seq=5 ttl=61 time=379 ms
64 bytes from 10.0.105.200: icmp_seq=6 ttl=61 time=388 ms
64 bytes from 10.0.105.200: icmp_seq=7 ttl=61 time=474 ms
64 bytes from 10.0.105.200: icmp_seq=8 ttl=61 time=548 ms
64 bytes from 10.0.105.200: icmp_seq=9 ttl=61 time=738 ms
64 bytes from 10.0.105.200: icmp_seq=10 ttl=61 time=966 ms
64 bytes from 10.0.105.200: icmp_seq=11 ttl=61 time=1727 ms
64 bytes from 10.0.105.200: icmp_seq=12 ttl=61 time=1687 ms
64 bytes from 10.0.105.200: icmp_seq=13 ttl=61 time=2147 ms
64 bytes from 10.0.105.200: icmp_seq=14 ttl=61 time=2404 ms
64 bytes from 10.0.105.200: icmp_seq=15 ttl=61 time=2840 ms
64 bytes from 10.0.105.200: icmp_seq=16 ttl=61 time=3137 ms
64 bytes from 10.0.105.200: icmp_seq=18 ttl=61 time=3488 ms
64 bytes from 10.0.105.200: icmp_seq=19 ttl=61 time=3451 ms
64 bytes from 10.0.105.200: icmp_seq=20 ttl=61 time=3559 ms
64 bytes from 10.0.105.200: icmp_seq=21 ttl=61 time=3285 ms
64 bytes from 10.0.105.200: icmp_seq=22 ttl=61 time=3151 ms
64 bytes from 10.0.105.200: icmp_seq=23 ttl=61 time=3222 ms
64 bytes from 10.0.105.200: icmp_seq=24 ttl=61 time=3181 ms
64 bytes from 10.0.105.200: icmp_seq=25 ttl=61 time=3168 ms
64 bytes from 10.0.105.200: icmp_seq=26 ttl=61 time=3008 ms
64 bytes from 10.0.105.200: icmp_seq=27 ttl=61 time=2852 ms
64 bytes from 10.0.105.200: icmp_seq=28 ttl=61 time=2608 ms
64 bytes from 10.0.105.200: icmp_seq=29 ttl=61 time=2237 ms
64 bytes from 10.0.105.200: icmp_seq=30 ttl=61 time=1549 ms
64 bytes from 10.0.105.200: icmp_seq=31 ttl=61 time=1016 ms
64 bytes from 10.0.105.200: icmp_seq=32 ttl=61 time=1261 ms
64 bytes from 10.0.105.200: icmp_seq=33 ttl=61 time=2526 ms
64 bytes from 10.0.105.200: icmp_seq=34 ttl=61 time=2592 ms
64 bytes from 10.0.105.200: icmp_seq=35 ttl=61 time=2733 ms
64 bytes from 10.0.105.200: icmp_seq=36 ttl=61 time=2751 ms
64 bytes from 10.0.105.200: icmp_seq=37 ttl=61 time=2870 ms
64 bytes from 10.0.105.200: icmp_seq=38 ttl=61 time=2918 ms
64 bytes from 10.0.105.200: icmp_seq=39 ttl=61 time=2915 ms
64 bytes from 10.0.105.200: icmp_seq=40 ttl=61 time=2990 ms
64 bytes from 10.0.105.200: icmp_seq=41 ttl=61 time=2982 ms
64 bytes from 10.0.105.200: icmp_seq=42 ttl=61 time=3042 ms
64 bytes from 10.0.105.200: icmp_seq=43 ttl=61 time=3073 ms
64 bytes from 10.0.105.200: icmp_seq=44 ttl=61 time=3113 ms
