PING 10.0.105.200 (10.0.105.200) 56(84) bytes of data.
64 bytes from 10.0.105.200: icmp_seq=1 ttl=61 time=26.6 ms
64 bytes from 10.0.105.200: icmp_seq=2 ttl=61 time=82.2 ms
64 bytes from 10.0.105.200: icmp_seq=3 ttl=61 time=134 ms
64 bytes from 10.0.105.200: icmp_seq=4 ttl=61 time=162 ms
64 bytes from 10.0.105.200: icmp_seq=5 ttl=61 time=227 ms
64 bytes from 10.0.105.200: icmp_seq=6 ttl=61 time=247 ms
64 bytes from 10.0.105.200: icmp_seq=7 ttl=61 time=310 ms
64 bytes from 10.0.105.200: icmp_seq=8 ttl=61 time=334 ms
64 bytes from 10.0.105.200: icmp_seq=9 ttl=61 time=369 ms
64 bytes from 10.0.105.200: icmp_seq=10 ttl=61 time=453 ms
64 bytes from 10.0.105.200: icmp_seq=11 ttl=61 time=490 ms
64 bytes from 10.0.105.200: icmp_seq=12 ttl=61 time=564 ms
64 bytes from 10.0.105.200: icmp_seq=13 ttl=61 time=627 ms
64 bytes from 10.0.105.200: icmp_seq=14 ttl=61 time=725 ms
64 bytes from 10.0.105.200: icmp_seq=15 ttl=61 time=852 ms
64 bytes from 10.0.105.200: icmp_seq=16 ttl=61 time=1046 ms
64 bytes from 10.0.105.200: icmp_seq=17 ttl=61 time=1273 ms
64 bytes from 10.0.105.200: icmp_seq=18 ttl=61 time=1525 ms
64 bytes from 10.0.105.200: icmp_seq=19 ttl=61 time=1740 ms
64 bytes from 10.0.105.200: icmp_seq=20 ttl=61 time=1999 ms
64 bytes from 10.0.105.200: icmp_seq=21 ttl=61 time=2310 ms
64 bytes from 10.0.105.200: icmp_seq=22 ttl=61 time=2591 ms
64 bytes from 10.0.105.200: icmp_seq=23 ttl=61 time=2929 ms
64 bytes from 10.0.105.200: icmp_seq=24 ttl=61 time=3221 ms
64 bytes from 10.0.105.200: icmp_seq=26 ttl=61 time=3371 ms
64 bytes from 10.0.105.200: icmp_seq=27 ttl=61 time=3372 ms
64 bytes from 10.0.105.200: icmp_seq=28 ttl=61 time=3349 ms
64 bytes from 10.0.105.200: icmp_seq=29 ttl=61 time=3159 ms
64 bytes from 10.0.105.200: icmp_seq=30 ttl=61 time=2965 ms
64 bytes from 10.0.105.200: icmp_seq=31 ttl=61 time=2887 ms
64 bytes from 10.0.105.200: icmp_seq=32 ttl=61 time=2477 ms
64 bytes from 10.0.105.200: icmp_seq=33 ttl=61 time=1617 ms
64 bytes from 10.0.105.200: icmp_seq=34 ttl=61 time=947 ms
64 bytes from 10.0.105.200: icmp_seq=35 ttl=61 time=598 ms
64 bytes from 10.0.105.200: icmp_seq=36 ttl=61 time=1401 ms
64 bytes from 10.0.105.200: icmp_seq=37 ttl=61 time=1751 ms
64 bytes from 10.0.105.200: icmp_seq=38 ttl=61 time=1979 ms
64 bytes from 10.0.105.200: icmp_seq=39 ttl=61 time=2076 ms
64 bytes from 10.0.105.200: icmp_seq=40 ttl=61 time=1825 ms
64 bytes from 10.0.105.200: icmp_seq=41 ttl=61 time=1764 ms
64 bytes from 10.0.105.200: icmp_seq=42 ttl=61 time=1945 ms
64 bytes from 10.0.105.200: icmp_seq=43 ttl=61 time=2258 ms
64 bytes from 10.0.105.200: icmp_seq=44 ttl=61 time=2151 ms
64 bytes from 10.0.105.200: icmp_seq=45 ttl=61 time=1955 ms
64 bytes from 10.0.105.200: icmp_seq=46 ttl=61 time=1993 ms
64 bytes from 10.0.105.200: icmp_seq=47 ttl=61 time=2148 ms
64 bytes from 10.0.105.200: icmp_seq=48 ttl=61 time=2315 ms
64 bytes from 10.0.105.200: icmp_seq=49 ttl=61 time=2214 ms
64 bytes from 10.0.105.200: icmp_seq=50 ttl=61 time=2074 ms
64 bytes from 10.0.105.200: icmp_seq=51 ttl=61 time=2161 ms
64 bytes from 10.0.105.200: icmp_seq=52 ttl=61 time=2309 ms
64 bytes from 10.0.105.200: icmp_seq=53 ttl=61 time=2389 ms
64 bytes from 10.0.105.200: icmp_seq=54 ttl=61 time=2390 ms
64 bytes from 10.0.105.200: icmp_seq=55 ttl=61 time=2381 ms
64 bytes from 10.0.105.200: icmp_seq=56 ttl=61 time=2497 ms
64 bytes from 10.0.105.200: icmp_seq=57 ttl=61 time=2528 ms
64 bytes from 10.0.105.200: icmp_seq=58 ttl=61 time=2547 ms
64 bytes from 10.0.105.200: icmp_seq=59 ttl=61 time=2611 ms
64 bytes from 10.0.105.200: icmp_seq=60 ttl=61 time=2705 ms
64 bytes from 10.0.105.200: icmp_seq=61 ttl=61 time=2832 ms
64 bytes from 10.0.105.200: icmp_seq=62 ttl=61 time=2883 ms
64 bytes from 10.0.105.200: icmp_seq=63 ttl=61 time=3038 ms
64 bytes from 10.0.105.200: icmp_seq=64 ttl=61 time=3184 ms
64 bytes from 10.0.105.200: icmp_seq=65 ttl=61 time=3374 ms
64 bytes from 10.0.105.200: icmp_seq=66 ttl=61 time=3359 ms
64 bytes from 10.0.105.200: icmp_seq=67 ttl=61 time=3357 ms
64 bytes from 10.0.105.200: icmp_seq=68 ttl=61 time=3361 ms
64 bytes from 10.0.105.200: icmp_seq=70 ttl=61 time=3185 ms
64 bytes from 10.0.105.200: icmp_seq=71 ttl=61 time=2989 ms
64 bytes from 10.0.105.200: icmp_seq=72 ttl=61 time=2835 ms
64 bytes from 10.0.105.200: icmp_seq=73 ttl=61 time=2488 ms
64 bytes from 10.0.105.200: icmp_seq=74 ttl=61 time=2007 ms
64 bytes from 10.0.105.200: icmp_seq=75 ttl=61 time=1370 ms
64 bytes from 10.0.105.200: icmp_seq=76 ttl=61 time=734 ms
64 bytes from 10.0.105.200: icmp_seq=77 ttl=61 time=583 ms
64 bytes from 10.0.105.200: icmp_seq=78 ttl=61 time=1084 ms
64 bytes from 10.0.105.200: icmp_seq=79 ttl=61 time=1010 ms
64 bytes from 10.0.105.200: icmp_seq=80 ttl=61 time=1566 ms
64 bytes from 10.0.105.200: icmp_seq=81 ttl=61 time=1474 ms
64 bytes from 10.0.105.200: icmp_seq=82 ttl=61 time=1510 ms
64 bytes from 10.0.105.200: icmp_seq=83 ttl=61 time=1967 ms
64 bytes from 10.0.105.200: icmp_seq=84 ttl=61 time=1934 ms
64 bytes from 10.0.105.200: icmp_seq=85 ttl=61 time=1788 ms
64 bytes from 10.0.105.200: icmp_seq=86 ttl=61 time=1757 ms
64 bytes from 10.0.105.200: icmp_seq=87 ttl=61 time=1880 ms
64 bytes from 10.0.105.200: icmp_seq=88 ttl=61 time=2215 ms
64 bytes from 10.0.105.200: icmp_seq=89 ttl=61 time=1929 ms
64 bytes from 10.0.105.200: icmp_seq=90 ttl=61 time=2052 ms
64 bytes from 10.0.105.200: icmp_seq=91 ttl=61 time=2244 ms
64 bytes from 10.0.105.200: icmp_seq=92 ttl=61 time=2152 ms
64 bytes from 10.0.105.200: icmp_seq=93 ttl=61 time=2220 ms
64 bytes from 10.0.105.200: icmp_seq=94 ttl=61 time=2137 ms
64 bytes from 10.0.105.200: icmp_seq=95 ttl=61 time=2340 ms
64 bytes from 10.0.105.200: icmp_seq=96 ttl=61 time=2204 ms
64 bytes from 10.0.105.200: icmp_seq=97 ttl=61 time=2253 ms
64 bytes from 10.0.105.200: icmp_seq=98 ttl=61 time=2295 ms
64 bytes from 10.0.105.200: icmp_seq=99 ttl=61 time=2415 ms
64 bytes from 10.0.105.200: icmp_seq=100 ttl=61 time=2503 ms
64 bytes from 10.0.105.200: icmp_seq=101 ttl=61 time=2531 ms
64 bytes from 10.0.105.200: icmp_seq=102 ttl=61 time=2671 ms
64 bytes from 10.0.105.200: icmp_seq=103 ttl=61 time=2788 ms
64 bytes from 10.0.105.200: icmp_seq=104 ttl=61 time=2996 ms
64 bytes from 10.0.105.200: icmp_seq=105 ttl=61 time=3068 ms
64 bytes from 10.0.105.200: icmp_seq=107 ttl=61 time=3379 ms
64 bytes from 10.0.105.200: icmp_seq=108 ttl=61 time=3376 ms
64 bytes from 10.0.105.200: icmp_seq=110 ttl=61 time=3299 ms
64 bytes from 10.0.105.200: icmp_seq=111 ttl=61 time=2985 ms
64 bytes from 10.0.105.200: icmp_seq=112 ttl=61 time=2923 ms
64 bytes from 10.0.105.200: icmp_seq=113 ttl=61 time=2561 ms
64 bytes from 10.0.105.200: icmp_seq=114 ttl=61 time=2845 ms
64 bytes from 10.0.105.200: icmp_seq=115 ttl=61 time=2424 ms
64 bytes from 10.0.105.200: icmp_seq=116 ttl=61 time=1976 ms
64 bytes from 10.0.105.200: icmp_seq=117 ttl=61 time=1178 ms
64 bytes from 10.0.105.200: icmp_seq=118 ttl=61 time=820 ms
64 bytes from 10.0.105.200: icmp_seq=119 ttl=61 time=765 ms
64 bytes from 10.0.105.200: icmp_seq=120 ttl=61 time=1489 ms
64 bytes from 10.0.105.200: icmp_seq=121 ttl=61 time=1821 ms
64 bytes from 10.0.105.200: icmp_seq=122 ttl=61 time=2345 ms
64 bytes from 10.0.105.200: icmp_seq=123 ttl=61 time=2249 ms
64 bytes from 10.0.105.200: icmp_seq=124 ttl=61 time=1942 ms
64 bytes from 10.0.105.200: icmp_seq=125 ttl=61 time=1904 ms
64 bytes from 10.0.105.200: icmp_seq=126 ttl=61 time=2014 ms
64 bytes from 10.0.105.200: icmp_seq=127 ttl=61 time=2271 ms
64 bytes from 10.0.105.200: icmp_seq=128 ttl=61 time=2157 ms
64 bytes from 10.0.105.200: icmp_seq=129 ttl=61 time=2029 ms
64 bytes from 10.0.105.200: icmp_seq=130 ttl=61 time=2200 ms
64 bytes from 10.0.105.200: icmp_seq=131 ttl=61 time=2310 ms
64 bytes from 10.0.105.200: icmp_seq=132 ttl=61 time=2195 ms
64 bytes from 10.0.105.200: icmp_seq=133 ttl=61 time=2129 ms
64 bytes from 10.0.105.200: icmp_seq=134 ttl=61 time=2280 ms
64 bytes from 10.0.105.200: icmp_seq=135 ttl=61 time=2397 ms
64 bytes from 10.0.105.200: icmp_seq=136 ttl=61 time=2250 ms
64 bytes from 10.0.105.200: icmp_seq=137 ttl=61 time=2301 ms
64 bytes from 10.0.105.200: icmp_seq=138 ttl=61 time=2323 ms
64 bytes from 10.0.105.200: icmp_seq=139 ttl=61 time=2459 ms
64 bytes from 10.0.105.200: icmp_seq=140 ttl=61 time=2496 ms
64 bytes from 10.0.105.200: icmp_seq=141 ttl=61 time=2458 ms
64 bytes from 10.0.105.200: icmp_seq=142 ttl=61 time=2593 ms
64 bytes from 10.0.105.200: icmp_seq=143 ttl=61 time=2710 ms
64 bytes from 10.0.105.200: icmp_seq=144 ttl=61 time=2896 ms
64 bytes from 10.0.105.200: icmp_seq=145 ttl=61 time=2998 ms
64 bytes from 10.0.105.200: icmp_seq=146 ttl=61 time=3148 ms
64 bytes from 10.0.105.200: icmp_seq=147 ttl=61 time=3326 ms
64 bytes from 10.0.105.200: icmp_seq=148 ttl=61 time=3365 ms
64 bytes from 10.0.105.200: icmp_seq=150 ttl=61 time=3346 ms
64 bytes from 10.0.105.200: icmp_seq=151 ttl=61 time=3283 ms
64 bytes from 10.0.105.200: icmp_seq=152 ttl=61 time=3090 ms
64 bytes from 10.0.105.200: icmp_seq=153 ttl=61 time=2850 ms
64 bytes from 10.0.105.200: icmp_seq=154 ttl=61 time=2765 ms
64 bytes from 10.0.105.200: icmp_seq=155 ttl=61 time=2235 ms
64 bytes from 10.0.105.200: icmp_seq=156 ttl=61 time=1679 ms
64 bytes from 10.0.105.200: icmp_seq=157 ttl=61 time=1203 ms
64 bytes from 10.0.105.200: icmp_seq=158 ttl=61 time=1403 ms
64 bytes from 10.0.105.200: icmp_seq=159 ttl=61 time=1561 ms
64 bytes from 10.0.105.200: icmp_seq=160 ttl=61 time=1598 ms
64 bytes from 10.0.105.200: icmp_seq=161 ttl=61 time=1520 ms
64 bytes from 10.0.105.200: icmp_seq=162 ttl=61 time=1749 ms
64 bytes from 10.0.105.200: icmp_seq=163 ttl=61 time=1844 ms
64 bytes from 10.0.105.200: icmp_seq=164 ttl=61 time=1757 ms
64 bytes from 10.0.105.200: icmp_seq=165 ttl=61 time=1941 ms
64 bytes from 10.0.105.200: icmp_seq=166 ttl=61 time=1824 ms
64 bytes from 10.0.105.200: icmp_seq=167 ttl=61 time=1966 ms
64 bytes from 10.0.105.200: icmp_seq=168 ttl=61 time=1992 ms
64 bytes from 10.0.105.200: icmp_seq=169 ttl=61 time=2010 ms
64 bytes from 10.0.105.200: icmp_seq=170 ttl=61 time=2118 ms
64 bytes from 10.0.105.200: icmp_seq=171 ttl=61 time=2161 ms
64 bytes from 10.0.105.200: icmp_seq=172 ttl=61 time=2231 ms
64 bytes from 10.0.105.200: icmp_seq=173 ttl=61 time=2208 ms
